"date","Paris__Sentinelles__inc"
"2012-08-06",1044
"2012-08-13",686
"2012-08-20",320
"2012-08-27",1767
"2012-09-04",1391
"2012-09-10",0
"2012-09-17",0
"2012-09-24",192
"2012-10-01",637
"2012-10-08",426
"2012-10-15",953
"2012-10-22",1698
"2012-10-31",425
"2012-11-05",945
"2012-11-12",3174
"2012-11-19",879
"2012-11-26",1431
"2012-12-03",1927
"2012-12-10",1229
"2012-12-17",3438
"2012-12-24",1856
"2012-12-31",2204
