index,S:all,I:all,beta:all,k:all,sto:all,d:all,rep:all,phi:all,log_like
249,0.969263,1.8187e-06,0.997251,70.5121,0.1,0.268971,1,0.1,-7466.493146
250,0.969327,1.78178e-06,0.997509,70.4873,0.1,0.268913,1,0.1,-7466.473972
251,0.969338,1.79872e-06,0.997488,70.4958,0.1,0.269011,1,0.1,-7466.471646
252,0.969387,1.7831e-06,0.997648,70.4837,0.1,0.269022,1,0.1,-7466.461764
253,0.969387,1.7831e-06,0.997648,70.4837,0.1,0.269022,1,0.1,-7466.461764
254,0.969387,1.7831e-06,0.997648,70.4837,0.1,0.269022,1,0.1,-7466.461764
255,0.969454,1.77003e-06,0.997846,70.4714,0.1,0.269075,1,0.1,-7466.459178
256,0.969394,1.72624e-06,0.997815,70.4526,0.1,0.268747,1,0.1,-7466.456328
257,0.969459,1.76252e-06,0.997878,70.467,0.1,0.269009,1,0.1,-7466.433442
258,0.969504,1.70858e-06,0.998114,70.435,0.1,0.268812,1,0.1,-7466.411386
259,0.969504,1.70858e-06,0.998114,70.435,0.1,0.268812,1,0.1,-7466.411386
260,0.969527,1.68049e-06,0.998232,70.4186,0.1,0.268684,1,0.1,-7466.398978
261,0.969527,1.68049e-06,0.998232,70.4186,0.1,0.268684,1,0.1,-7466.398978
262,0.969584,1.71662e-06,0.998295,70.432,0.1,0.268903,1,0.1,-7466.367829
263,0.969584,1.71662e-06,0.998295,70.432,0.1,0.268903,1,0.1,-7466.367829
264,0.969584,1.71662e-06,0.998295,70.432,0.1,0.268903,1,0.1,-7466.367829
265,0.969584,1.71662e-06,0.998295,70.432,0.1,0.268903,1,0.1,-7466.367829
266,0.969682,1.62241e-06,0.998717,70.3755,0.1,0.268621,1,0.1,-7466.364811
267,0.969682,1.62241e-06,0.998717,70.3755,0.1,0.268621,1,0.1,-7466.364811
268,0.969734,1.59889e-06,0.998888,70.3584,0.1,0.268548,1,0.1,-7466.343650
269,0.969674,1.62486e-06,0.998694,70.3775,0.1,0.268436,1,0.1,-7466.294632
270,0.969674,1.62486e-06,0.998694,70.3775,0.1,0.268436,1,0.1,-7466.294632
271,0.969674,1.62486e-06,0.998694,70.3775,0.1,0.268436,1,0.1,-7466.294632
272,0.969674,1.62486e-06,0.998694,70.3775,0.1,0.268436,1,0.1,-7466.294632
273,0.96982,1.5975e-06,0.999134,70.3447,0.1,0.268481,1,0.1,-7466.224934
274,0.96982,1.5975e-06,0.999134,70.3447,0.1,0.268481,1,0.1,-7466.224934
