index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
107,0.66012,9.79587e-06,1.09828e-05,1.1639,0.043242,4.90359,80.8839,0.1,1,0.1,-22899.252740
108,0.655674,9.65402e-06,1.08298e-05,1.18696,0.041803,4.91123,81.0415,0.1,1,0.1,-22815.652384
109,0.646309,9.62334e-06,1.08323e-05,1.18646,0.0401005,4.90859,81.2426,0.1,1,0.1,-22758.491715
110,0.641301,9.65102e-06,1.09759e-05,1.2206,0.0393021,4.9105,81.3774,0.1,1,0.1,-22370.380685
111,0.641301,9.65102e-06,1.09759e-05,1.2206,0.0393021,4.9105,81.3774,0.1,1,0.1,-22370.380685
112,0.64717,9.95982e-06,1.11429e-05,1.19633,0.0385861,4.92167,81.1955,0.1,1,0.1,-22306.787979
113,0.64717,9.95982e-06,1.11429e-05,1.19633,0.0385861,4.92167,81.1955,0.1,1,0.1,-22306.787979
114,0.653905,9.71846e-06,1.0935e-05,1.20268,0.0381363,4.94166,81.2181,0.1,1,0.1,-22299.175485
115,0.653905,9.71846e-06,1.0935e-05,1.20268,0.0381363,4.94166,81.2181,0.1,1,0.1,-22299.175485
116,0.658479,9.71527e-06,1.10072e-05,1.21466,0.0370752,4.91282,81.2953,0.1,1,0.1,-22190.538390
117,0.658479,9.71527e-06,1.10072e-05,1.21466,0.0370752,4.91282,81.2953,0.1,1,0.1,-22190.538390
118,0.651414,9.64325e-06,1.11419e-05,1.2583,0.0368425,4.91183,81.236,0.1,1,0.1,-22128.065107
119,0.651414,9.64325e-06,1.11419e-05,1.2583,0.0368425,4.91183,81.236,0.1,1,0.1,-22128.065107
120,0.651713,9.44683e-06,1.0976e-05,1.26848,0.036249,4.89816,81.0894,0.1,1,0.1,-22044.355156
121,0.651713,9.44683e-06,1.0976e-05,1.26848,0.036249,4.89816,81.0894,0.1,1,0.1,-22044.355156
122,0.655071,9.4118e-06,1.09637e-05,1.24141,0.0361653,4.86532,81.2197,0.1,1,0.1,-22043.790814
123,0.648225,9.90393e-06,1.10494e-05,1.30702,0.0352692,4.85923,81.3592,0.1,1,0.1,-21896.757085
124,0.640163,1.00391e-05,1.12295e-05,1.25977,0.0348559,4.85908,81.2447,0.1,1,0.1,-21759.541068
125,0.637972,1.01837e-05,1.15323e-05,1.2646,0.0342491,4.84475,81.0552,0.1,1,0.1,-21645.964904
